Date,5년 ~ 7년
2019.2.4,245.4716774
2019.2.5,246.1873379
2019.2.6,246.7677729
2019.2.7,247.4522306
2019.2.8,247.7457127
2019.2.9,248.1045319
2019.2.10,248.4831801
2019.2.11,248.9708111
2019.2.12,249.4454522
2019.2.13,249.8956365
2019.2.14,250.5768153
2019.2.15,251.0308151
2019.2.16,251.6548267
2019.2.17,252.0824656
2019.2.18,252.3561547
2019.2.19,252.6825691
2019.2.20,252.9451006
2019.2.21,253.3844236
2019.2.22,253.695647
2019.2.23,253.8987481
2019.2.24,254.3317104
2019.2.25,254.8232646
2019.2.26,255.3428257
2019.2.27,255.9012566
2019.2.28,257.8047362
2019.3.1,258.2650068
2019.3.2,258.7654196
2019.3.3,259.4515529
2019.3.4,259.9678744
2019.3.5,261.5984649
2019.3.6,262.6327284
2019.3.7,263.5706323
2019.3.8,263.9762158
2019.3.9,264.4048032
2019.3.10,265.1416767
2019.3.11,265.5090037
2019.3.12,266.4859077
2019.3.13,267.169415
2019.3.14,267.5061039
2019.3.15,267.7713069
2019.3.16,268.4513054
2019.3.17,268.7684841
2019.3.18,269.2095345
2019.3.19,270.2238009
2019.3.20,271.3526636
2019.3.21,271.6680393
2019.3.22,272.5303371
2019.3.23,273.1323014
2019.3.24,273.5431501
2019.3.25,274.4156197
2019.3.26,275.6818673
2019.3.27,276.1712114
2019.3.28,276.4758785
2019.3.29,276.7647916
2019.3.30,276.969469
2019.3.31,277.2173785
2019.4.1,277.5007874
2019.4.2,278.2265763
2019.4.3,278.4551205
2019.4.4,278.9450578
2019.4.5,279.3849595
2019.4.6,279.6494746
2019.4.7,279.8658717
2019.4.8,280.0934371
2019.4.9,280.2265923
2019.4.10,280.7478276
2019.4.11,281.0716618
2019.4.12,281.4345325
2019.4.13,281.7594932
2019.4.14,282.2116544
2019.4.15,286.7459003
2019.4.16,287.161105
2019.4.17,287.7233098
2019.4.18,288.0800102
2019.4.19,288.473233
2019.4.20,288.7680599
2019.4.21,288.9831112
2019.4.22,289.2516565
2019.4.23,289.4890844
2019.4.24,289.7040995
2019.4.25,289.7598755
2019.4.26,289.9588065
2019.4.27,290.0939181
2019.4.28,290.3361142
2019.4.29,290.6220352
2019.4.30,290.7852413
2019.5.1,290.8933973
2019.5.2,291.3685413
2019.5.3,291.657257
2019.5.4,291.9124677
2019.5.5,292.0691087
2019.5.6,292.4004676
2019.5.7,292.6353528
2019.5.8,292.8941194
2019.5.9,293.1143062
2019.5.10,293.2161839
2019.5.11,293.6235024
2019.5.12,293.8871448
2019.5.13,294.0505865
2019.5.14,294.3614645
2019.5.15,294.6626961
2019.5.16,295.1768961
2019.5.17,295.4281987
2019.5.18,295.7236208
2019.5.19,295.8232464
2019.5.20,295.4645844
2019.5.21,295.3682062
2019.5.22,295.6856727
2019.5.23,296.0290415
2019.5.24,296.8161066
2019.5.25,297.0259517
2019.5.26,310.8100807
2019.5.27,311.0924864
2019.5.28,311.2580774
2019.5.29,311.7927629
2019.5.30,312.0838468
2019.5.31,312.5513943
2019.6.1,313.1984809
2019.6.2,313.4169989
2019.6.3,313.4995039
2019.6.4,313.8249213
2019.6.5,313.6939793
2019.6.6,313.9145837
2019.6.7,314.3827846
2019.6.8,314.9877336
2019.6.9,316.0242683
2019.6.10,334.4280939
2019.6.11,350.5626668
2019.6.12,350.8739787
2019.6.13,351.1007949
2019.6.14,351.4129227
2019.6.15,351.6193926
2019.6.16,351.7703749
2019.6.17,352.0970061
2019.6.18,352.2558359
2019.6.19,352.4094851
2019.6.20,352.9165574
2019.6.21,353.3563742
2019.6.22,353.5381041
2019.6.23,353.8271411
2019.6.24,354.3026626
2019.6.25,354.5485389
2019.6.26,355.0075243
2019.6.27,355.3518987
2019.6.28,355.4902652
2019.6.29,355.7839849
2019.6.30,356.3518834
2019.7.1,356.7906837
2019.7.2,357.2551804
2019.7.3,358.2956252
2019.7.4,358.4705971
2019.7.5,358.8009225
2019.7.6,359.0048209
2019.7.7,359.238023
2019.7.8,359.45464
2019.7.9,359.8437484
2019.7.10,360.22663
2019.7.11,360.6097942
2019.7.12,360.9983898
2019.7.13,361.3345763
2019.7.14,361.6430971
2019.7.15,361.7759674
2019.7.16,362.2466181
2019.7.17,362.9911757
2019.7.18,363.5441542
2019.7.19,364.2277296
2019.7.20,365.3020763
2019.7.21,365.6371537
2019.7.22,366.1928183
2019.7.23,366.4504173
2019.7.24,366.6606003
2019.7.25,366.784607
2019.7.26,367.1061429
2019.7.27,367.7455852
2019.7.28,369.8665262
2019.7.29,370.3365094
2019.7.30,370.7092429
2019.7.31,370.9187123
2019.8.1,371.8030879
2019.8.2,372.3474829
2019.8.3,373.7379139
2019.8.4,373.9316595
2019.8.5,374.579765
2019.8.6,374.9443002
2019.8.7,375.3844432
2019.8.8,375.8591377
2019.8.9,376.1085992
2019.8.10,376.4149373
2019.8.11,376.6869481
2019.8.12,377.3221953
2019.8.13,377.6352182
2019.8.14,377.7122015
2019.8.15,378.2046698
2019.8.16,378.3927227
2019.8.17,378.7062919
2019.8.18,379.4032258
2019.8.19,379.5907226
2019.8.20,380.0357234
2019.8.21,380.5494525
2019.8.22,381.1435253
2019.8.23,381.2795871
2019.8.24,381.5713552
2019.8.25,381.728939
2019.8.26,381.8791523
2019.8.27,383.936633
2019.8.28,384.1543403
2019.8.29,384.2519047
2019.8.30,384.3703178
2019.8.31,384.6075881
2019.9.1,384.816394
2019.9.2,384.9697427
2019.9.3,385.2200314
2019.9.4,386.0632108
2019.9.5,386.3371745
2019.9.6,386.4746386
2019.9.7,386.7668471
2019.9.8,386.9106876
2019.9.9,387.46662
2019.9.10,387.7731629
2019.9.11,387.8704041
2019.9.12,388.0086713
2019.9.13,388.2989815
2019.9.14,388.4593592
2019.9.15,388.7427128
2019.9.16,388.8957247
2019.9.17,389.0526014
2019.9.18,389.1398105
2019.9.19,389.2343781
2019.9.20,389.5521483
2019.9.21,389.6378189
2019.9.22,389.7581488
2019.9.23,389.9799508
2019.9.24,390.4843807
2019.9.25,390.5712191
2019.9.26,390.6777269
2019.9.27,390.7069968
2019.9.28,390.7487675
2019.9.29,390.8096279
2019.9.30,391.1248079
2019.10.1,391.1820275
2019.10.2,391.4712492
2019.10.3,391.5864904
2019.10.4,391.6462327
2019.10.5,391.6944009
2019.10.6,391.7847836
2019.10.7,391.9119958
2019.10.8,392.2411811
2019.10.9,392.5737232
2019.10.10,392.79203
2019.10.11,393.4676975
2019.10.12,393.6225392
2019.10.13,393.7830776
2019.10.14,393.9197252
2019.10.15,394.5569714
2019.10.16,394.6060963
2019.10.17,394.7850358
2019.10.18,394.8454127
2019.10.19,395.2979668
2019.10.20,395.245797
2019.10.21,395.2936061
2019.10.22,395.6464222
2019.10.23,395.8295614
2019.10.24,395.9352421
2019.10.25,396.0774151
2019.10.26,396.172556
2019.10.27,396.1972117
2019.10.28,396.3979572
2019.10.29,396.6772726
2019.10.30,396.8065424
2019.10.31,397.0455211
2019.11.1,397.1412386
2019.11.2,397.3551956
2019.11.3,397.4304942
2019.11.4,397.4818741
2019.11.5,397.5867431
2019.11.6,397.7483014
2019.11.7,397.9435312
2019.11.8,398.125836
2019.11.9,398.1821263
2019.11.10,398.377105
2019.11.11,398.4740815
2019.11.12,398.6749394
2019.11.13,399.5369299
2019.11.14,399.8039532
2019.11.15,400.0239606
2019.11.16,400.2440237
2019.11.17,400.4809061
2019.11.18,400.62418
2019.11.19,400.7781851
2019.11.20,400.7548745
2019.11.21,400.9431206
2019.11.22,401.0527442
2019.11.23,401.2705043
2019.11.24,400.8032097
2019.11.25,400.9649297
2019.11.26,401.0588856
2019.11.27,401.2577148
2019.11.28,401.4700417
2019.11.29,401.6544915
2019.11.30,401.9293527
2019.12.1,401.9547571
2019.12.2,402.0508165
2019.12.3,409.8866046
2019.12.4,410.0729108
2019.12.5,410.1845513
2019.12.6,410.3275623
2019.12.7,410.3846553
2019.12.8,410.4674356
2019.12.9,411.1749419
2019.12.10,411.4364743
2019.12.11,411.5581995
2019.12.12,411.7456531
2019.12.13,412.1334828
2019.12.14,412.4067583
2019.12.15,412.6740625
2019.12.16,412.9950015
2019.12.17,413.1809611
2019.12.18,413.2411337
2019.12.19,413.3464897
2019.12.20,413.3232726
2019.12.21,413.4720457
2019.12.22,413.828754
2019.12.23,413.8260974
2019.12.24,414.0643666
2019.12.25,414.1245317
2019.12.26,414.5251961
2019.12.27,414.6686451
2019.12.28,414.9690282
2019.12.29,415.0569449
2019.12.30,415.0405361
2019.12.31,415.2177327
2020.1.1,415.296016
2020.1.2,415.5006758
2020.1.3,418.3352572
2020.1.4,418.5165698
2020.1.5,418.8843505
2020.1.6,418.9096098
2020.1.7,419.0065596
2020.1.8,419.0835184
2020.1.9,419.1964699
2020.1.10,419.3371909
2020.1.11,419.3660662
2020.1.12,419.4152743
2020.1.13,419.4968806
2020.1.14,419.5046351
2020.1.15,419.3241959
2020.1.16,419.7644824
2020.1.17,420.0389077
2020.1.18,419.908722
2020.1.19,419.6569377
2020.1.20,419.7099831
2020.1.21,421.519805
2020.1.22,421.7544295
2020.1.23,422.1991023
2020.1.24,422.4219846
2020.1.25,422.4881404
2020.1.26,422.7654288
2020.1.27,422.8827953
2020.1.28,423.0123126
2020.1.29,423.2946782
2020.1.30,423.5187572
2020.1.31,423.997092
2020.2.1,424.2641014
2020.2.2,424.2690554
2020.2.3,425.1412215
2020.2.4,425.3366956
2020.2.5,425.3797486
2020.2.6,426.1113738
2020.2.7,426.3098034
2020.2.8,426.6791438
2020.2.9,426.6347237
2020.2.10,426.494189
2020.2.11,426.5922263
2020.2.12,426.6982685
2020.2.13,426.5627407
2020.2.14,426.9467493
2020.2.15,427.6610557
2020.2.16,427.3537739
2020.2.17,427.4847228
2020.2.18,427.7786994
2020.2.19,427.8198632
2020.2.20,427.8101074
2020.2.21,427.876922
2020.2.22,428.4199681
2020.2.23,428.6785249
2020.2.24,428.6692752
2020.2.25,428.7735659
2020.2.26,428.9941091
2020.2.27,429.2485428
2020.2.28,429.4165042
2020.2.29,429.392917
2020.3.1,429.5377014
2020.3.2,429.6308974
2020.3.3,430.0605541
2020.3.4,430.7118835
2020.3.5,431.022166
2020.3.6,431.1521395
2020.3.7,431.236095
2020.3.8,431.366129
2020.3.9,431.9188405
2020.3.10,432.3252516
2020.3.11,433.0432557
2020.3.12,433.6746973
2020.3.13,433.7784461
2020.3.14,433.6104614
2020.3.15,434.2780558
2020.3.16,433.9456505
2020.3.17,434.0366618
2020.3.18,435.553396
2020.3.19,435.8312555
2020.3.20,436.78139
2020.3.21,437.509312
2020.3.22,437.9007136
2020.3.23,438.3068393
2020.3.24,438.853009
2020.3.25,439.3023094
2020.3.26,439.4943495
2020.3.27,440.2278261
2020.3.28,440.9926357
2020.3.29,442.3122755
2020.3.30,442.5430999
2020.3.31,443.0419265
2020.4.1,443.5619889
2020.4.2,444.2932062
2020.4.3,444.5740759
2020.4.4,444.9319435
2020.4.5,445.1966788
2020.4.6,445.8875948
2020.4.7,446.3710722
2020.4.8,447.0003155
2020.4.9,447.6096982
2020.4.10,448.5644166
2020.4.11,449.3262725
2020.4.12,449.5964943
2020.4.13,449.908893
2020.4.14,450.1084759
2020.4.15,455.0974263
