Date,미결제 약정 (Open Interest)
2020.11.26,2914786687
2020.11.27,2942717036
2020.11.28,3050292656
2020.11.29,3169481617
2020.11.30,3556079349
2020.12.1,3272989847
2020.12.2,3349603212
2020.12.3,3495013772
2020.12.4,3389211448
2020.12.5,3456726734
2020.12.6,3547228021
2020.12.7,3570478702
2020.12.8,3511824336
2020.12.9,3508736867
2020.12.10,3505139420
2020.12.11,3410085473
2020.12.12,3489831871
2020.12.13,3574276235
2020.12.14,3691147714
2020.12.15,3745283563
2020.12.16,4038463849
2020.12.17,3849360894
2020.12.18,4102167143
2020.12.19,4341726572
2020.12.20,4268828721
2020.12.21,3987241751
2020.12.22,4181022132
2020.12.23,3834510303
2020.12.24,4022602643
2020.12.25,4363116670
2020.12.26,4667230708
2020.12.27,4587547797
2020.12.28,4737397778
2020.12.29,4732749709
2020.12.30,4921785465
2020.12.31,4832767930
2021.1.1,4941423846
2021.1.2,5281929907
2021.1.3,5442322587
2021.1.4,4929256853
2021.1.5,5203500822
2021.1.6,5626082248
2021.1.7,6071265989
2021.1.8,6070940353
2021.1.9,6269390913
2021.1.10,6070271845
2021.1.11,5600022318
2021.1.12,5210185146
2021.1.13,5751064810
2021.1.14,6137499256
2021.1.15,5786094235
2021.1.16,5643653041
2021.1.17,5372295910
2021.1.18,5572804276
2021.1.19,5830639155
2021.1.20,5503088457
2021.1.21,5138241147
2021.1.22,4876430766
2021.1.23,4724810419
2021.1.24,4829239898
2021.1.25,4938683611
2021.1.26,4937337243
2021.1.27,4821426401
2021.1.28,5153000846
2021.1.29,5296887892
2021.1.30,5221665517
2021.1.31,5201665572
2021.2.1,5099563129
2021.2.2,5467362865
2021.2.3,5729399346
2021.2.4,5709707089
2021.2.5,6149651703
2021.2.6,6723976691
2021.2.7,6689564859
2021.2.8,7883527982
2021.2.9,7825444914
2021.2.10,7728157320
2021.2.11,8423458268
2021.2.12,8206991150
2021.2.13,8238256300
2021.2.14,8843788042
2021.2.15,8461273013
2021.2.16,8798694992
2021.2.17,9605960428
2021.2.18,9360850532
2021.2.19,9608940881
2021.2.20,9318354171
2021.2.21,9852058259
2021.2.22,8640997158
2021.2.23,7649297039
2021.2.24,7814128522
2021.2.25,7825706865
2021.2.26,7358405185
2021.2.27,7476662306
2021.2.28,7566058433
2021.3.1,8189175459
2021.3.2,8040374270
2021.3.3,8535449813
2021.3.4,8352749772
2021.3.5,8072153176
2021.3.6,8152412626
2021.3.7,8727067576
2021.3.8,9747828386
2021.3.9,10224428099
2021.3.10,10917093911
2021.3.11,11742098122
2021.3.12,11184330400
2021.3.13,12655719092
2021.3.14,12238241881
2021.3.15,11081603956
2021.3.16,10751050028
2021.3.17,11035655892
2021.3.18,11195044518
2021.3.19,10923752112
2021.3.20,11250018103
2021.3.21,11119919611
2021.3.22,10793882576
2021.3.23,10614004003
2021.3.24,10339214251
2021.3.25,10055245330
2021.3.26,10454958901
2021.3.27,10649527699
2021.3.28,10403171647
2021.3.29,11205166883
2021.3.30,12199965971
2021.3.31,12235011356
2021.4.1,12205074329
2021.4.2,12644448356
2021.4.3,12537438903
2021.4.4,12513019321
2021.4.5,12630844031
2021.4.6,12693916435
2021.4.7,12334794479
2021.4.8,12341274934
2021.4.9,12283532540
2021.4.10,12815552208
2021.4.11,13090234527
2021.4.12,13615807643
2021.4.13,14807103015
2021.4.14,14427498320
2021.4.15,14312167961
2021.4.16,13957030998
2021.4.17,14028548375
2021.4.18,11503199221
2021.4.19,11170628620
2021.4.20,11406146886
2021.4.21,11208535436
2021.4.22,10884686874
2021.4.23,10491331998
2021.4.24,10406759482
2021.4.25,10400182221
2021.4.26,10037431424
2021.4.27,10247506454
2021.4.28,10063137205
2021.4.29,10260906572
2021.4.30,10932280388
2021.5.1,10901126642
2021.5.2,10966807753
2021.5.3,11108338716
2021.5.4,10623731260
2021.5.5,10561714703
2021.5.6,10746361762
2021.5.7,10590681643
2021.5.8,10830780741
2021.5.9,10768786940
2021.5.10,10964320241
2021.5.11,10825717784
2021.5.12,10603924294
2021.5.13,9657253587
2021.5.14,9374898094
2021.5.15,9580067522
2021.5.16,9491824367
2021.5.17,9113053717
2021.5.18,9115774831
2021.5.19,6015937620
2021.5.20,6117380184
2021.5.21,5900723737
2021.5.22,5574102724
2021.5.23,5284990259
2021.5.24,5691652261
2021.5.25,5631018426
2021.5.26,5852606839
2021.5.27,5737956174
2021.5.28,6051751325
2021.5.29,5712681329
2021.5.30,5746129525
2021.5.31,6127571836
2021.6.1,5885478694
2021.6.2,6197709330
2021.6.3,6662890100
2021.6.4,6377723090
2021.6.5,6230876923
2021.6.6,6353633917
2021.6.7,6491497686
2021.6.8,6198576362
2021.6.9,7122968174
2021.6.10,6556508034
2021.6.11,6794034029
2021.6.12,6417888741
2021.6.13,7246456564
2021.6.14,7483075531
2021.6.15,7512226251
2021.6.16,7461350019
2021.6.17,7525881751
2021.6.18,7013671747
2021.6.19,7068309007
2021.6.20,6864627296
2021.6.21,6083236472
2021.6.22,6161397912
2021.6.23,6249371840
2021.6.24,6489679920
2021.6.25,6183902731
2021.6.26,6146832883
2021.6.27,6540327578
2021.6.28,6404340096
2021.6.29,7048775343
