Date,Data
2017.10.17,1889374.641
2017.10.18,1889123.924
2017.10.19,1891726.967
2017.10.20,1892430.976
2017.10.21,1891929.381
2017.10.22,1892860.825
2017.10.23,1891781.044
2017.10.24,1892188.401
2017.10.25,1893046.133
2017.10.26,1892640.346
2017.10.27,1892741.269
2017.10.28,1893319.748
2017.10.29,1893586.225
2017.10.30,1892755.458
2017.10.31,1893414.055
2017.11.1,1893916.259
2017.11.2,1894278.157
2017.11.3,1893667.406
2017.11.4,1893297.806
2017.11.5,1893124.64
2017.11.6,1893829.77
2017.11.7,1893422.212
2017.11.8,1893378.698
2017.11.9,1893754.235
2017.11.10,1894263.546
2017.11.11,1894805.859
2017.11.12,1895036.934
2017.11.13,1894250.946
2017.11.14,1893811.25
2017.11.15,1895356.434
2017.11.16,1896135.228
2017.11.17,1896517.126
2017.11.18,1896050.652
2017.11.19,1897205.396
2017.11.20,1897317.758
2017.11.21,1898315.817
2017.11.22,1896443.372
2017.11.23,1897700.132
2017.11.24,1900097.745
2017.11.25,1899367.376
2017.11.26,1897135.231
2017.11.27,1895360.694
2017.11.28,1894266.44
2017.11.29,1894979.399
2017.11.30,1894901.618
2017.12.1,1896214.898
2017.12.2,1896554.064
2017.12.3,1896118.104
2017.12.4,1896210.523
2017.12.5,1895915.329
2017.12.6,1897216.464
2017.12.7,1896002.414
2017.12.8,1897060.18
2017.12.9,1897154.736
2017.12.10,1897353.137
2017.12.11,1894024.871
2017.12.12,1895111.299
2017.12.13,1894793.153
2017.12.14,1893916.498
2017.12.15,1893510.391
2017.12.16,1893603.709
2017.12.17,1894711.677
2017.12.18,1894403.634
2017.12.19,1895231.08
2017.12.20,1894782.941
2017.12.21,1895517.848
2017.12.22,1896646.456
2017.12.23,1896746.965
2017.12.24,1897645.272
2017.12.25,1896703.384
2017.12.26,1895338.262
2017.12.27,1891893.627
2017.12.28,1891832.74
2017.12.29,1890060.021
2017.12.30,1891320.691
2017.12.31,1891800.513
2018.1.1,1892936.249
2018.1.2,1891722.041
2018.1.3,1892041.668
2018.1.4,1891166.647
2018.1.5,1887966.996
2018.1.6,1887924.824
2018.1.7,1888462.787
2018.1.8,1888611.801
2018.1.9,1889325.851
2018.1.10,1888630.034
2018.1.11,1889742.498
2018.1.12,1890025.041
2018.1.13,1890500.289
2018.1.14,1889582.441
2018.1.15,1890226.757
2018.1.16,1890130.503
2018.1.17,1890597.879
2018.1.18,1889466.604
2018.1.19,1889739.768
2018.1.20,1889589.387
2018.1.21,1889089.513
2018.1.22,1890554.759
2018.1.23,1889843.53
2018.1.24,1890773.475
2018.1.25,1890697.144
2018.1.26,1891359.908
2018.1.27,1891815.303
2018.1.28,1891368.441
2018.1.29,1890740.82
2018.1.30,1890273.516
2018.1.31,1890154.757
2018.2.1,1888996.675
2018.2.2,1888381.041
2018.2.3,1889832.006
2018.2.4,1888278.714
2018.2.5,1889416.976
2018.2.6,1890016.523
2018.2.7,1887458.323
2018.2.8,1879156.363
2018.2.9,1878744.593
